States,First Dose,Second Dose,60% On,70% On,80% On,90% On
AUS,76.7%,52.6%,,,04 Oct 21,22 Oct 21
,,,09 Oct 21,24 Oct 21,07 Nov 21,22 Nov 21
NSW,86.2%,61.7%,,,,07 Oct 21
,,,,06 Oct 21,16 Oct 21,25 Oct 21
VIC,78.7%,48.4%,,,30 Sep 21,14 Oct 21
,,,20 Oct 21,08 Nov 21,26 Nov 21,15 Dec 21
QLD,64.6%,45.6%,,09 Oct 21,29 Oct 21,17 Nov 21
,,,29 Oct 21,19 Nov 21,10 Dec 21,30 Dec 21
WA ,63.7%,45.3%,,12 Oct 21,04 Nov 21,26 Nov 21
,,,03 Nov 21,26 Nov 21,20 Dec 21,13 Jan 22
SA ,66.7%,48.4%,,05 Oct 21,26 Oct 21,16 Nov 21
,,,21 Oct 21,09 Nov 21,28 Nov 21,17 Dec 21
TAS,75.4%,57.1%,,,08 Oct 21,28 Oct 21
,,,03 Oct 21,20 Oct 21,06 Nov 21,22 Nov 21
ACT,88.6%,62.2%,,,,30 Sep 21
,,,,09 Oct 21,22 Oct 21,04 Nov 21
NT ,65.5%,51.5%,,13 Oct 21,13 Nov 21,14 Dec 21
,,,17 Oct 21,07 Nov 21,29 Nov 21,20 Dec 21
